2019-03-21*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*8,7*0,0*2,9*05:54*14,5*12:30*11*4,2*11,7*15:46*11,1*1015,7*00*1011,2*24
2019-03-22*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*10,4*0,0*4,6*06:09*16,3*12:28*20*1,9*8,9*08:50*11,5*1012,4*Varias*1010,1*04
2019-03-23*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,1*0,0*6,2*05:39*18,0*13:54*99*3,9*7,8*Varias*11,5*1011,9*01*1008,8*15
2019-03-24*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*11,2*0,0*6,8*06:35*15,6*14:10*07*3,1*7,8*16:20*10,8*1013,3*Varias*1009,9*03
2019-03-25*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*11,7*0,0*9,0*23:55*14,4*11:09*06*4,7*12,8*13:48*6,5*1013,8*Varias*1011,6*17
2019-03-26*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*9,6*0,0*5,8*04:35*13,3*12:53*10*8,6*18,6*14:46*11,1*1012,8*00*1009,8*16
2019-03-27*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*9,8*0,0*5,1*03:36*14,5*12:02*11*6,4*13,9*15:29*11,5*1015,8*Varias*1011,4*03
2019-03-28*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*8,6*0,0*2,4*04:46*14,9*12:32*12*4,7*13,3*18:16*11,5*1015,7*00*1011,7*24
2019-03-29*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*9,2*0,1*3,5*05:50*15,0*13:05*17*3,1*8,9*06:40*11,3*1011,7*00*1004,4*24
2019-03-30*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*10,7*0,0*6,8*06:47*14,6*17:27*21*2,8*6,7*07:21*6,6*1004,4*00*1001,3*17
2019-03-31*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*11,8*0,0*7,0*06:07*16,6*10:49*99*2,8*7,2*Varias*10,6*1001,8*00*997,7*16
2019-04-01*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*10,2*0,0*5,7*03:10*14,8*13:45*21*1,9*6,7*04:11*10,7*1002,1*Varias*998,3*04
2019-04-02*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*10,5*8,3*7,5*03:54*13,5*12:07*99*3,6*10,3*Varias*0,0*1003,5*Varias*1000,2*24
2019-04-03*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*7,4*11,0*4,1*23:44*10,8*12:34*33*7,5*33,9*18:00*2,7*1000,3*00*992,9*24
2019-04-04*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*8,6*5,3*3,8*01:38*13,5*11:12*23*3,6*12,8*10:06*4,3*992,9*00*980,6*22
2019-04-05*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*10,2*2,3*6,2*03:32*14,2*12:50*28*3,3*14,4*16:38*5,7*984,1*Varias*979,8*05
2019-04-06*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*8,1*16,9*4,2*06:03*12,0*10:55*29*2,8*17,5*16:47*1,8*989,3*Varias*981,0*07
2019-04-07*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*10,6*3,9*7,1*Varias*14,1*11:25*27*3,3*10,8*01:24*6,3*994,0*Varias*989,3*00
2019-04-08*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*11,6*0,4*7,3*21:34*15,9*11:21*28*3,9*12,5*02:16*6,4*996,3*Varias*991,4*00
2019-04-09*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,5*7,6*7,9*05:56*17,1*14:41*26*3,3*12,5*16:37*3,8*997,0*Varias*993,3*05
2019-04-10*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*11,0*0,5*8,0*05:24*14,0*14:29*99*3,6*14,4*Varias*4,4*1006,6*Varias*996,2*02
2019-04-11*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*10,0*0,0*6,0*23:00*14,1*14:41*31*3,3*8,9*12:24*2,4*1008,0*Varias*1006,3*01
2019-04-12*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*10,4*0,0*5,1*06:17*15,6*14:45*11*4,4*9,7*14:38*12,2*1007,5*00*1003,7*16
2019-04-13*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*13,2*Ip*7,6*00:04*18,7*15:28*20*3,1*7,2*07:20*10,2*1004,0*00*1001,4*17
2019-04-14*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*17,0*0,0*13,1*03:05*21,0*14:13*99*3,3*6,7*Varias*7,0*1002,3*00*996,6*24
2019-04-15*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,8*7,6*8,4*23:22*17,3*07:53*99*4,4*13,3*Varias*0,4*1003,2*Varias*990,6*08
2019-04-16*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,0*0,0*7,5*05:36*16,4*11:17*11*4,7*12,5*12:50*6,6*1003,2*00*994,8*24
2019-04-17*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*15,0*0,4*9,5*02:05*20,5*10:44*28*4,2*10,3*16:30*2,3*994,9*00*990,0*15
2019-04-18*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,6*7,6*9,3*06:10*16,0*11:54*11*3,1*9,2*14:55*1,2*1002,6*Varias*994,3*00
2019-04-19*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*13,8*0,1*10,2*21:03*17,5*16:04*10*3,3*12,5*16:29*4,0*1009,3*21*1001,2*04
2019-04-20*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,6*0,0*8,0*05:39*17,3*09:33*20*2,2*8,9*07:23*11,9*1009,1*01*1005,1*24
2019-04-21*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,0*0,0*8,4*23:43*15,5*13:22*23*2,2*8,3*07:27*11,0*1005,1*00*994,4*24
2019-04-22*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*13,2*7,5*7,4*02:58*19,1*14:26*99*2,5*7,2*Varias*9,2*994,4*00*978,8*24
2019-04-23*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*10,8*8,4*7,1*23:41*14,6*12:51*27*2,5*10,3*01:41*2,6*983,6*Varias*977,4*04
2019-04-24*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*11,2*1,6*5,0*04:31*17,4*15:09*28*6,7*19,7*17:50*1,0*984,7*Varias*977,4*14
2019-04-25*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*13,2*3,7*8,2*00:00*18,1*13:04**6,1***4,9*1000,1*Varias*984,4*00
2019-04-26*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,0*0,0*9,2*23:57*14,8*15:53*27*5,8*15,0*Varias*8,0*1012,3*Varias*1000,1*00
2019-04-27*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,0*0,0*9,0*00:10*15,1*09:29*31*1,9*8,3*10:36*3,1*1014,9*Varias*1011,3*03
2019-04-28*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*11,7*0,0*7,2*23:58*16,2*10:35*99*3,9*10,8*Varias*10,7*1013,8*00*1006,6*24
2019-04-29*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,3*0,0*6,7*01:06*17,9*13:22*11*6,1*11,7*Varias*12,9*1006,6*00*1002,8*16
2019-04-30*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*11,5*0,0*8,0*01:00*15,0*13:14*99*1,7*5,0*Varias*0,2*1005,6*Varias*1003,2*24
2019-05-01*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,0*0,0*8,5*23:20*15,5*14:24*99*1,9*6,1*Varias*4,0*1006,4*Varias*1001,7*04
2019-05-02*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*11,4*0,5*7,6*00:30*15,1*14:31*99*1,9*7,8*Varias*3,3*1006,5*Varias*1004,2*24
